duration;unit;convert;duration_conv;unit_conv
96;h;no;96;h
24;h;no;24;h
48;h;no;48;h
NR;d;no;NR;d
72;h;no;72;h
7;d;no;7;d
NR;h;no;NR;h
21;d;no;21;d
14;d;no;14;d
10;d;no;10;d
28;d;no;28;d
4;d;yes;96;h
30;d;no;30;d
5;d;yes;120;h
6;h;no;6;h
3;h;yes;180;mi
3;d;yes;72;h
1;h;yes;60;mi
8;d;no;8;d
NR;NR;no;NR;remove
6;d;no;6;d
12;h;no;12;h
15;d;no;15;d
2;d;yes;48;h
2;h;yes;120;mi
3;wk;yes;21;d
NR;wk;yes;NR;d
4;h;yes;240;mi
1;d;yes;24;h
12;d;no;12;d
120;h;no;120;h
20;d;no;20;d
9;d;no;9;d
2;wk;yes;14;d
NR;mi;no;NR;mi
4;wk;yes;28;d
60;d;no;60;d
16;d;no;16;d
1;wk;yes;7;d
32;d;no;32;d
35;d;no;35;d
90;d;no;90;d
8;h;no;8;h
8;wk;yes;56;d
168;h;yes;7;d
42;d;no;42;d
40;d;no;40;d
6;wk;yes;42;d
30;mi;no;30;mi
13;d;no;13;d
0.5;h;yes;30;mi
36;h;no;36;h
NR;mo;no;NR;remove
11;d;no;11;d
5;h;yes;300;mi
60;mi;no;60;mi
144;h;yes;6;d
20;h;no;20;h
NR;ht;no;NR;remove
45;d;no;45;d
25;d;no;25;d
33;d;no;33;d
24;d;no;24;d
18;d;no;18;d
15;mi;no;15;mi
18;h;no;18;h
12;wk;yes;84;d
3;mo;yes;90;d
5;wk;yes;35;d
20;mi;no;20;mi
1;mo;yes;30;d
9;h;no;9;h
56;d;no;56;d
10;wk;yes;70;d
2;mo;yes;60;d
17;d;no;17;d
1;yr;no;1;yr
19;d;no;19;d
120;d;no;120;d
70;d;no;70;d
23;d;no;23;d
NR;hv;no;NR;remove
10;h;no;10;h
100;d;no;100;d
1.5;h;yes;90;mi
27;d;no;27;d
60;h;no;60;h
16;h;no;16;h
50;d;no;50;d
192;h;yes;8;d
NR;em;no;NR;remove
4;mo;yes;120;d
22;d;no;22;d
21;h;no;21;h
0.17;h;yes;10.2;mi
120;mi;no;120;mi
6;mo;yes;180;d
10;mi;no;10;mi
29;d;no;29;d
90;mi;no;90;mi
5;mi;no;5;mi
7;wk;yes;49;d
2;yr;no;2;yr
26;d;no;26;d
46;h;no;46;h
30;h;no;30;h
16;wk;yes;112;d
31;d;no;31;d
0.25;h;yes;15;mi
49;d;no;49;d
34;d;no;34;d
14;h;no;14;h
36;d;no;36;d
28;h;no;28;h
65;d;no;65;d
NR;stg;no;NR;remove
63;d;no;63;d
26;h;no;26;h
11;wk;yes;77;d
40;h;no;40;h
30;dph;no;30;remove
41;d;no;41;d
5;mo;yes;150;d
75;d;no;75;d
18;mo;yes;540;d
96;d;no;96;d
58;d;no;58;d
9;mo;yes;270;d
13;h;no;13;h
NR;dph;no;NR;remove
25;h;no;25;h
80;mi;no;80;mi
43;d;no;43;d
50;h;no;50;h
62;d;no;62;d
85;d;no;85;d
3;brd;no;3;remove
48;d;no;48;d
7;h;no;7;h
22;h;no;22;h
4;dph;no;4;remove
84;d;no;84;d
94;d;no;94;d
13;wk;yes;91;d
64;d;no;64;d
32;h;no;32;h
37;d;no;37;d
84;h;no;84;h
9;wk;yes;63;d
100;h;no;100;h
80;d;no;80;d
3;yr;no;3;yr
240;h;yes;10;d
150;d;no;150;d
39;d;no;39;d
10;s;no;10;s
44;h;no;44;h
8;mo;yes;240;d
45;mi;no;45;mi
47;d;no;47;d
0.5;d;yes;12;h
200;h;yes;8.3333333333;d
69;d;no;69;d
NR;yr;no;NR;yr
28;dph;no;28;remove
0.033;h;yes;1.98;mi
124;d;no;124;d
38;d;no;38;d
14;wk;yes;98;d
40;mi;no;40;mi
42;h;no;42;h
;ht;no;0;remove
1.33;h;yes;79.8;mi
19;wk;yes;133;d
43;h;no;43;h
78;d;no;78;d
60;dph;no;60;remove
15;h;no;15;h
1;mi;no;1;mi
180;d;no;180;d
24;wk;yes;168;d
105;d;no;105;d
96;hpf;no;96;remove
0.08;h;yes;4.8;mi
2.5;h;yes;150;mi
27;h;no;27;h
20;mo;yes;600;d
83;d;no;83;d
46;d;no;46;d
55;d;no;55;d
72;d;no;72;d
44;d;no;44;d
12;mo;yes;360;d
26;wk;yes;182;d
20;wk;yes;140;d
140;d;no;140;d
57;d;no;57;d
7;mo;yes;210;d
75;mi;no;75;mi
NR;ge;no;NR;remove
185;d;no;185;d
70;h;no;70;h
NR;hpf;no;NR;remove
200;d;no;200;d
240;mi;no;240;mi
91;d;no;91;d
180;mi;no;180;mi
3;dph;no;3;remove
120;hpf;no;120;remove
77;d;no;77;d
90;h;no;90;h
NR;ma;no;NR;remove
29;h;no;29;h
42;go;no;42;remove
80;h;no;80;h
18;wk;yes;126;d
68;d;no;68;d
4.5;h;yes;270;mi
0.33;h;yes;19.8;mi
15;mo;yes;450;d
216;h;yes;9;d
322;d;no;322;d
11;mo;yes;330;d
2;mi;no;2;mi
46;nf;no;46;remove
24.5;h;no;24.5;h
54;d;no;54;d
64;h;no;64;h
52;d;no;52;d
NR;s;no;NR;s
1;ge;no;1;remove
110;d;no;110;d
15;wk;yes;105;d
98;d;no;98;d
107;dph;no;107;remove
0.33;d;yes;7.92;h
153;d;no;153;d
38;h;no;38;h
NR;lvp;no;NR;remove
336;h;yes;14;d
71;d;no;71;d
66;nf;no;66;remove
88;d;no;88;d
51;d;no;51;d
61;d;no;61;d
66;d;no;66;d
11;h;no;11;h
95;d;no;95;d
1.2;h;yes;72;mi
99;d;no;99;d
125;d;no;125;d
4.2;d;yes;100.8;h
46;go;no;46;remove
66;h;no;66;h
7.5;d;no;7.5;d
140;h;yes;5.8333333333;d
302;d;no;302;d
5.5;h;no;5.5;h
67;d;no;67;d
82;d;no;82;d
101;d;no;101;d
1.5;d;yes;36;h
30;dpu;no;30;remove
68;h;no;68;h
102;h;no;102;h
3.5;h;yes;210;mi
10;mo;yes;300;d
17;h;no;17;h
3;mi;no;3;mi
45;h;no;45;h
73;d;no;73;d
0;h;no;0;remove
1;dph;no;1;remove
13;mo;yes;390;d
NR;pan;no;NR;remove
100;mi;no;100;mi
27;wk;yes;189;d
52;wk;yes;364;d
23;h;no;23;h
28;wk;yes;196;d
39;wk;yes;273;d
54;h;no;54;h
146;d;no;146;d
19;h;no;19;h
74;d;no;74;d
NR;gts;no;NR;remove
;em;no;0;remove
1.3;h;yes;78;mi
133;d;no;133;d
264;h;yes;11;d
31;h;no;31;h
4.5;d;yes;108;h
53;d;no;53;d
97;d;no;97;d
NR;dpf;no;NR;remove
0.67;h;yes;40.2;mi
16;mo;yes;480;d
72;hpf;no;72;remove
0.017;h;yes;1.02;mi
104;d;no;104;d
30;wk;yes;210;d
47;h;no;47;h
6;dpf;no;6;remove
7;mi;no;7;mi
112;d;no;112;d
115;d;no;115;d
33;h;no;33;h
73;h;no;73;h
93;d;no;93;d
95;h;no;95;h
130;mi;no;130;mi
6.5;d;no;6.5;d
119;d;no;119;d
160;mi;no;160;mi
25;mi;no;25;mi
350;d;no;350;d
5;dpf;no;5;remove
52;h;no;52;h
62;nf;no;62;remove
;lva;no;0;remove
37;h;no;37;h
43;dpf;no;43;remove
59;d;no;59;d
;ea;no;0;remove
114;dph;no;114;remove
22;wk;yes;154;d
2.5;mo;yes;75;d
48;hpf;no;48;remove
53;h;no;53;h
63;dph;no;63;remove
88;h;no;88;h
1;gs;no;1;remove
130;d;no;130;d
35;mi;no;35;mi
384;h;yes;16;d
0;mi;no;0;remove
45;dpu;no;45;remove
504;h;yes;21;d
56;h;no;56;h
1;crs;no;1;remove
102;d;no;102;d
108;d;no;108;d
138;d;no;138;d
150;mi;no;150;mi
251;d;no;251;d
300;dd;no;300;remove
6.5;h;no;6.5;h
12.5;h;no;12.5;h
4;brd;no;4;remove
4;mi;no;4;mi
4;yr;no;4;yr
8.5;d;no;8.5;d
134;d;no;134;d
15;dpf;no;15;remove
150;h;yes;6.25;d
19;mo;yes;570;d
210;d;no;210;d
3.5;d;yes;84;h
40;dph;no;40;remove
49;h;no;49;h
506;d;no;506;d
67;h;no;67;h
71;h;no;71;h
8.5;mo;yes;255;d
93;h;no;93;h
NR;lva;no;NR;remove
91;h;no;91;h
0.03;h;yes;1.8;mi
0.1;wk;yes;16.8;h
105;mi;no;105;mi
108;h;no;108;h
112;h;no;112;h
127;d;no;127;d
1.67;h;yes;100.2;mi
2;ge;no;2;remove
210;mi;no;210;mi
36;wk;yes;252;d
55;h;no;55;h
92;d;no;92;d
0;d;no;0;remove
0.75;h;yes;45;mi
166;d;no;166;d
41;h;no;41;h
4.5;mo;yes;135;d
6;mi;no;6;mi
76;h;no;76;h
92;h;no;92;h
0.25;d;yes;6;h
106;d;no;106;d
144;hpf;no;144;remove
161;d;no;161;d
170;h;yes;7.0833333333;d
200;mi;no;200;mi
50;mi;no;50;mi
65;h;no;65;h
7;dph;no;7;remove
72.5;h;no;72.5;h
0.05;h;yes;3;mi
117;dpf;no;117;remove
118;d;no;118;d
1.5;mi;no;1.5;mi
224;d;no;224;d
28;dpf;no;28;remove
79;d;no;79;d
81;d;no;81;d
86;d;no;86;d
87;d;no;87;d
;hv;no;0;remove
0.083;h;yes;4.98;mi
164;d;no;164;d
20;dph;no;20;remove
20;stg;no;20;remove
23;mo;yes;690;d
240;d;no;240;d
2.5;d;yes;60;h
350;mi;no;350;mi
40;wk;yes;280;d
480;h;yes;20;d
51;h;no;51;h
69;h;no;69;h
72.25;h;no;72.25;h
72.75;h;no;72.75;h
74;h;no;74;h
85;h;no;85;h
NR;it;no;NR;remove
0.7;h;yes;42;mi
121;d;no;121;d
12.5;d;no;12.5;d
14;dph;no;14;remove
141;d;no;141;d
17;wk;yes;119;d
170;d;no;170;d
194;dph;no;194;remove
2.5;yr;no;2.5;yr
3;ge;no;3;remove
34;h;no;34;h
3.5;mo;yes;105;d
44;dpf;no;44;remove
NR;frt;no;NR;remove
NR;lf;no;NR;remove
0.4;h;yes;24;mi
136;d;no;136;d
18;stg;no;18;remove
2;brd;no;2;remove
20000;mi;yes;13.8888888889;d
29;mo;yes;870;d
300;d;no;300;d
407;d;no;407;d
65;mi;no;65;mi
700;dd;no;700;remove
NR;go;no;NR;remove
0.42;h;yes;25.2;mi
113;d;no;113;d
131;dpf;no;131;remove
186;h;yes;7.75;d
24;hpf;no;24;remove
35;h;no;35;h
36;dpf;no;36;remove
51;wk;yes;357;d
52;mi;no;52;mi
5.5;mo;yes;165;d
84;hpf;no;84;remove
94;h;no;94;h
NR;lgp;no;NR;remove
0.16;h;yes;9.6;mi
124;dpf;no;124;remove
126;d;no;126;d
140;mi;no;140;mi
160;d;no;160;d
23;wk;yes;161;d
24;mo;yes;720;d
260;d;no;260;d
301;d;no;301;d
4.6;d;yes;110.4;h
560;mi;yes;9.3333333333;h
80;dph;no;80;remove
9;dph;no;9;remove
NR;brd;no;NR;remove
0.83;h;yes;49.8;mi
1;brd;no;1;remove
114;h;no;114;h
122;d;no;122;d
132;h;yes;5.5;d
148;d;no;148;d
15;s;no;15;s
22;dpf;no;22;remove
230;d;no;230;d
29;dph;no;29;remove
300;h;yes;12.5;d
300;s;no;300;s
312;h;yes;13;d
4;ge;no;4;remove
70;mi;no;70;mi
720;h;yes;30;d
840;h;yes;35;d
97;h;no;97;h
1.25;h;yes;75;mi
1.5;mo;yes;45;d
1789;d;no;1789;d
19;dpf;no;19;remove
239;dph;no;239;remove
396;d;no;396;d
44;wk;yes;308;d
55;wk;yes;385;d
57;h;no;57;h
58;h;no;58;h
90;dph;no;90;remove
;alv;no;0;remove
168;d;no;168;d
1.75;h;yes;105;mi
270;d;no;270;d
3.5;wk;yes;24.5;d
36;stg;no;36;remove
41;wk;yes;287;d
42;dpf;no;42;remove
47;wk;yes;329;d
5;brd;no;5;remove
5.2;d;no;5.2;d
57;dpf;no;57;remove
64;dpf;no;64;remove
7;dpu;no;7;remove
NR;dd;no;NR;remove
;mmph;no;0;remove
0.2;h;yes;12;mi
0.3;h;yes;18;mi
0.6;h;yes;36;mi
101;hpf;no;101;remove
12;dph;no;12;remove
14;mo;yes;420;d
14.5;h;no;14.5;h
147;d;no;147;d
25;stg;no;25;remove
2.67;h;yes;160.2;mi
3;dpf;no;3;remove
365;d;no;365;d
42;wk;yes;294;d
45;stg;no;45;remove
62;h;no;62;h
66;stg;no;66;remove
75;h;no;75;h
7.6;d;no;7.6;d
77;h;no;77;h
86.4;d;no;86.4;d
91.5;d;no;91.5;d
NR;swm;no;NR;remove
0.72;h;yes;43.2;mi
0.8;h;yes;48;mi
115;h;no;115;h
156;d;no;156;d
2;wph;no;2;remove
273;d;no;273;d
288;h;yes;12;d
30;s;no;30;s
5.25;h;no;5.25;h
600;h;yes;25;d
76;d;no;76;d
82;h;no;82;h
95;dph;no;95;remove
98;h;no;98;h
;swm;no;0;remove
0.07;h;yes;4.2;mi
103;d;no;103;d
10.5;d;no;10.5;d
111;d;no;111;d
120;dph;no;120;remove
1200;s;no;1200;s
17;mo;yes;510;d
17;stg;no;17;remove
22;stg;no;22;remove
240;dph;no;240;remove
24.03;h;no;24.03;h
266;d;no;266;d
30;mo;yes;900;d
46;stg;no;46;remove
4.8;h;yes;288;mi
500;d;no;500;d
6.9;d;no;6.9;d
78;h;no;78;h
805;d;no;805;d
NR;ej;no;NR;remove
NR;ep;no;NR;remove
NR;zm;no;NR;remove
0.1;h;yes;6;mi
109;d;no;109;d
12;ge;no;12;remove
13.5;h;no;13.5;h
139;d;no;139;d
145;d;no;145;d
14.6;d;no;14.6;d
15.75;d;no;15.75;d
174;d;no;174;d
1.8;h;yes;108;mi
360;h;yes;15;d
392;d;no;392;d
500;h;yes;20.8333333333;d
5.25;d;no;5.25;d
690;h;yes;28.75;d
7.5;h;no;7.5;h
8;dpf;no;8;remove
89;h;no;89;h
9.5;d;no;9.5;d
NR;fs;no;NR;remove
NR;pm;no;NR;remove
;ma;no;0;remove
0.12;h;yes;7.2;mi
0.37;h;yes;22.2;mi
10;dpe;no;10;remove
104;wk;yes;728;d
12;mi;no;12;mi
136;wk;yes;952;d
143;d;no;143;d
152;d;no;152;d
155;d;no;155;d
160;h;yes;6.6666666667;d
186;d;no;186;d
2;gs;no;2;remove
2.3;h;yes;138;mi
2.5;wk;yes;17.5;d
274;d;no;274;d
300;mi;no;300;mi
301;dph;no;301;remove
3.6;d;yes;86.4;h
360;mi;yes;6;h
400;h;yes;16.6666666667;d
50;dpf;no;50;remove
5.3;d;no;5.3;d
54;dph;no;54;remove
5.5;d;no;5.5;d
6;brd;no;6;remove
63;h;no;63;h
6.5;wk;yes;45.5;d
69.5;h;no;69.5;h
7;dpf;no;7;remove
7.25;h;no;7.25;h
7.5;mo;yes;225;d
86;h;no;86;h
0.104;h;yes;6.24;mi
0.13;h;yes;7.8;mi
0.28;h;yes;16.8;mi
0.48;h;yes;28.8;mi
1;s;no;1;s
10;dph;no;10;remove
101;h;no;101;h
107;d;no;107;d
11.75;h;no;11.75;h
128;d;no;128;d
131;d;no;131;d
14;mi;no;14;mi
142;d;no;142;d
15;ge;no;15;remove
1.5;wk;yes;10.5;d
158;d;no;158;d
16;dpf;no;16;remove
16;stg;no;16;remove
165;d;no;165;d
167;dph;no;167;remove
171;d;no;171;d
18;mi;no;18;mi
189;d;no;189;d
191;d;no;191;d
205;d;no;205;d
25;go;no;25;remove
250;d;no;250;d
25.5;h;no;25.5;h
2.6;h;yes;156;mi
261;d;no;261;d
276;d;no;276;d
330;d;no;330;d
3.6;h;yes;216;mi
37;wk;yes;259;d
3.75;h;yes;225;mi
40;mo;yes;1200;d
4.25;h;yes;255;mi
43;go;no;43;remove
500;mi;yes;8.3333333333;h
55;gds;no;55;remove
5.6;h;no;5.6;h
59;h;no;59;h
594;h;yes;24.75;d
64;wk;yes;448;d
794;h;yes;33.0833333333;d
8;stg;no;8;remove
88;wk;yes;616;d
NR;gm;no;NR;remove
NR;log;no;NR;remove
;stg;no;0;remove
0.008;h;yes;0.48;mi
0.15;h;yes;9;mi
0.23;h;yes;13.8;mi
0.27;h;yes;16.2;mi
0.58;h;yes;34.8;mi
0.6;d;yes;14.4;h
10.7;d;no;10.7;d
110;h;no;110;h
1.17;h;yes;70.2;mi
118;h;no;118;h
124;h;yes;5.1666666667;d
129;d;no;129;d
13;stg;no;13;remove
1.3;d;yes;31.2;h
135;d;no;135;d
137;d;no;137;d
14;stg;no;14;remove
1.4;h;yes;84;mi
1460;mi;yes;24.3333333333;h
149;d;no;149;d
1490;mi;yes;24.8333333333;h
15;stg;no;15;remove
157;d;no;157;d
166;wk;yes;1162;d
17.5;h;no;17.5;h
183;d;no;183;d
18.75;h;no;18.75;h
19;stg;no;19;remove
21;stg;no;21;remove
22;mo;yes;660;d
23;mi;no;23;mi
255;d;no;255;d
26;mo;yes;780;d
263;d;no;263;d
29;go;no;29;remove
3;hpf;no;3;remove
318;d;no;318;d
320;h;yes;13.3333333333;d
3.33;h;yes;199.8;mi
34;go;no;34;remove
37;mo;yes;1110;d
3.7;d;yes;88.8;h
3.8;d;yes;91.2;h
4.1;d;yes;98.4;h
4.1;h;yes;246;mi
412;d;no;412;d
4.3;h;yes;258;mi
4.8;d;yes;115.2;h
5.4;d;no;5.4;d
