unit;convert;multiplier;unit_conv
ug/L;yes;1;ug/L
mg/L;yes;1000;ug/L
ppm;yes;1000;ug/L
uM;yes;1;uM
ppb;yes;1;ug/L
AI ug/L;yes;1;ug/L
ng/L;yes;0.001;ug/L
AI mg/L;yes;1000;ug/L
mg/kg;no;1;mg/kg
M;yes;1000000;uM
mM;yes;1000;uM
umol/L;yes;1;uM
%;no;1;%
ug/ml;yes;1000;ug/L
nM;yes;0.001;uM
ul/L;no;1;ul/L
ug/g;no;1;ug/g
mg/kg bdwt;no;1;mg/kg bdwt
AI kg/ha;no;1;AI kg/ha
ml/L;no;1;ml/L
g/L;yes;1000000;ug/L
ai ppm;yes;1000;ug/L
nmol/L;yes;0.001;uM
% v/v;no;1;% v/v
mmol/L;yes;1000;uM
kg/ha;no;1;kg/ha
ug/kg;no;1;ug/kg
mg/dm3;yes;1000;ug/L
AI lb/acre;no;1;AI lb/acre
uCi/L;no;1;uCi/L
ae mg/L;yes;1000;ug/L
AI g/ha;no;1;AI g/ha
ug/g bdwt;no;1;ug/g bdwt
AI ng/L;yes;0.001;ug/L
ng/ml;yes;1;ug/L
AI ug/ml;yes;1000;ug/L
mol/L;yes;1000000;uM
ug;no;1;ug
mg/kg fd;no;1;mg/kg fd
ug/g diet;no;1;ug/g diet
AI ppb;yes;1;ug/L
ug/kg bdwt;no;1;ug/kg bdwt
lb/acre;no;1;lb/acre
mg/ml;yes;1000000;ug/L
ng/g;no;1;ng/g
ug/g food;no;1;ug/g food
dpm/ml;no;1;dpm/ml
mg;no;1;mg
ug/g dry wt;no;1;ug/g dry wt
kBq/L;no;1;kBq/L
ug/dm3;yes;1;ug/L
mg/kg d fd;no;1;mg/kg d fd
mmol/m3;yes;1;uM
ug/g dry fd;no;1;ug/g dry fd
pg/g egg;no;1;pg/g egg
0/00;no;1;0/00
g/ml;no;1;g/ml
mmol/kg;no;1;mmol/kg
ppmw;no;1;ppmw
mg/g;no;1;mg/g
umol/g;no;1;umol/g
pg/g wet wt;no;1;pg/g wet wt
uCi;no;1;uCi
ug/org;no;1;ug/org
mg/kg bdwt/d;no;1;mg/kg bdwt/d
ng;no;1;ng
AI ul/L;no;1;AI ul/L
L/ha;no;1;L/ha
mg/g bdwt;no;1;mg/g bdwt
umol/kg;no;1;umol/kg
pg/g;no;1;pg/g
ml;no;1;ml
g/m3;yes;1;ug/L
ng/g diet;no;1;ng/g diet
mg/kg diet;no;1;mg/kg diet
ul;no;1;ul
mmol;no;1;mmol
mg/kg org;no;1;mg/kg org
% WSF;no;1;% WSF
mBq/ml;no;1;mBq/ml
ug/100ml;yes;10;ug/L
ug/kg fd;no;1;ug/kg fd
g;no;1;g
ppt;yes;0.001;ug/L
AI oz/ac;no;1;AI oz/ac
nmol/g;no;1;nmol/g
mg/g fd;no;1;mg/g fd
AI %;no;1;AI %
cpm/ml;no;1;cpm/ml
ae kg/ha;no;1;ae kg/ha
Bq/ml;no;1;Bq/ml
g/kg;no;1;g/kg
ug/mg food;no;1;ug/mg food
ng/g bdwt;no;1;ng/g bdwt
g/ha;no;1;g/ha
mg/fish;no;1;mg/fish
ul/ml;no;1;ul/ml
Bq/L;no;1;Bq/L
ug/g wet wt;no;1;ug/g wet wt
% sat;no;1;% sat
ng/org;no;1;ng/org
pM;no;1;pM
ng/g egg;no;1;ng/g egg
mg/100g bw;no;1;mg/100g bw
mg/kg dry wt;no;1;mg/kg dry wt
ml/kg;no;1;ml/kg
ng/kg fd;no;1;ng/kg fd
nCi/L;no;1;nCi/L
mg/100g;no;1;mg/100g
pg/ml;yes;0.001;ug/L
umol;no;1;umol
ppm dw fd;no;1;ppm dw fd
ug/2 org/d;no;1;ug/2 org/d
mCi/mmol;no;1;mCi/mmol
nmol/ml;yes;1;uM
mg/kg/d;no;1;mg/kg/d
mg/L media;yes;1000;ug/L
ae ug/L;yes;1;ug/L
ug/g bdwt/d;no;1;ug/g bdwt/d
;no;1;
N;no;1;N
pg/ul;no;1;pg/ul
ug/mg;no;1;ug/mg
ug/g org/d;no;1;ug/g org/d
uM/L;yes;1;uM
gal/acre;no;1;gal/acre
ml/25 ml;no;1;ml/25 ml
nmol/g food;no;1;nmol/g food
ug/g lipid diet;no;1;ug/g lipid diet
g/kg feed;no;1;g/kg feed
kmol/m3;yes;1000000;uM
ng/g wet wt;no;1;ng/g wet wt
ug/cell;no;1;ug/cell
nmol;no;1;nmol
umol/g wet wt;no;1;umol/g wet wt
mg/kg org/d;no;1;mg/kg org/d
ug/kg/d;no;1;ug/kg/d
% w/v;no;1;% w/v
g/kg bdwt;no;1;g/kg bdwt
kg;no;1;kg
mol/dm3;yes;1000000;uM
NR;no;1;NR
pg/dm3;yes;0.000001;ug/L
ppm-hour;no;1;ppm-hour
ug/cm3;yes;1000;ug/L
ug/g org;no;1;ug/g org
ug/kg org;no;1;ug/kg org
% d wght;no;1;% d wght
kBq/ml;no;1;kBq/ml
mg/200 ml;yes;5000;ug/L
ng/mg;no;1;ng/mg
fg/org;no;1;fg/org
ug/cm2;no;1;ug/cm2
cpm/L;no;1;cpm/L
ng/org/d;no;1;ng/org/d
pg/L;yes;0.000001;ug/L
ug/g/d;no;1;ug/g/d
mM/L;yes;1000;uM
mol/g;no;1;mol/g
pCi/g;no;1;pCi/g
g/cc;no;1;g/cc
mg/g/d;no;1;mg/g/d
ml/g food;no;1;ml/g food
ng/egg;no;1;ng/egg
uCi/ml;no;1;uCi/ml
ug/h/100 g;no;1;ug/h/100 g
mg/kg/wk;no;1;mg/kg/wk
ng/0.5 ml;no;1;ng/0.5 ml
ug/egg;no;1;ug/egg
ng/d;no;1;ng/d
ug-atoms/L;no;1;ug-atoms/L
meq/L;no;1;meq/L
ng/cm2;no;1;ng/cm2
ppmv;no;1;ppmv
ae ppb;yes;1;ug/L
AI mg/kg;no;1;AI mg/kg
ng/g dry wt;no;1;ng/g dry wt
pmol/g bdwt;no;1;pmol/g bdwt
pmol/L;yes;0.000001;uM
ug/d;no;1;ug/d
% vol;no;1;% vol
AI ug/kg;no;1;AI ug/kg
ml/ha;no;1;ml/ha
nmol/g lipid;no;1;nmol/g lipid
nmol/kg;no;1;nmol/kg
ug/disk;no;1;ug/disk
AI ml/L;no;1;AI ml/L
g/acre;no;1;g/acre
mmol/100 g;no;1;mmol/100 g
mol;no;1;mol
pCi/ml;no;1;pCi/ml
pg/org;no;1;pg/org
dpm;no;1;dpm
nmol/kg bdwt;no;1;nmol/kg bdwt
ug/3.5L;no;1;ug/3.5L
ul/g bdwt;no;1;ul/g bdwt
cpm;no;1;cpm
pg/cell;no;1;pg/cell
g/dm3;yes;1000000;ug/L
mg/kg dw org/d;no;1;mg/kg dw org/d
mg/org/wk;no;1;mg/org/wk
